Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
198,0.99,3,-12,1004,-840,-2660,350
199,0.995,2,-13,1006,-840,-2590,420
200,1.0,2,-14,1006,-910,-2590,350
201,1.005,3,-13,1005,-840,-2590,420
202,1.01,3,-13,1005,-840,-2590,420
203,1.015,3,-13,1004,-840,-2590,420
204,1.02,3,-13,1005,-840,-2660,420
205,1.025,3,-14,1005,-840,-2660,350
206,1.03,1,-13,1006,-840,-2660,350
207,1.035,2,-14,1005,-840,-2520,350
208,1.04,3,-12,1005,-840,-2660,350
209,1.045,3,-12,1005,-840,-2660,350
210,1.05,4,-14,1004,-910,-2660,420
211,1.055,2,-14,1005,-840,-2590,420
212,1.06,3,-14,1005,-840,-2660,420
213,1.065,3,-13,1005,-840,-2590,420
214,1.07,3,-13,1005,-910,-2590,420
215,1.075,3,-13,1004,-910,-2590,350
216,1.08,3,-13,1004,-840,-2590,420
217,1.085,2,-14,1001,-840,-2660,420
218,1.09,3,-12,1017,-770,-2660,420
219,1.095,-10,-11,1023,-700,-2030,420
220,1.1,14,-14,997,-980,-3290,420
221,1.105,0,-15,1000,-840,-2380,420
222,1.11,13,-15,991,-980,-3290,420
223,1.115,-4,-11,1005,-840,-2870,350
224,1.12,7,-13,999,-910,-2870,420
225,1.125,-1,-14,1010,-910,-2940,420
226,1.13,4,-14,1007,-840,-2660,350
227,1.135,2,-13,1005,-910,-2590,350
228,1.14,3,-13,1004,-910,-2660,350
229,1.145,1,-12,1006,-840,-2520,420
230,1.15,3,-13,1004,-910,-2590,350
231,1.155,1,-13,1006,-840,-2590,350
232,1.16,4,-14,1005,-840,-2660,420
233,1.165,3,-14,1005,-840,-2590,350
234,1.17,2,-13,1005,-910,-2590,350
235,1.175,3,-13,1004,-840,-2660,350
236,1.18,4,-12,1004,-840,-2660,350
237,1.185,2,-13,1005,-840,-2590,420
238,1.19,3,-14,1004,-840,-2660,350
239,1.195,2,-13,1010,-840,-2730,350
240,1.2,5,-14,1018,-840,-2450,350
241,1.205,7,-16,992,-980,-2870,350
242,1.21,-3,-13,1001,-910,-2870,350
243,1.215,0,-13,1006,-840,-2450,420
244,1.22,3,-13,1006,-840,-2660,420
245,1.225,0,-12,1008,-840,-2450,420
246,1.23,5,-15,1003,-770,-2660,350
247,1.235,3,-15,1004,-910,-2660,350
248,1.24,1,-13,1005,-910,-2660,420
249,1.245,3,-12,1003,-910,-2590,420
250,1.25,2,-12,1006,-910,-2590,420
251,1.255,5,-13,1006,-840,-2520,350
252,1.26,4,-14,1004,-840,-2730,350
253,1.265,2,-14,1004,-910,-2660,350
254,1.27,3,-13,1004,-910,-2730,350
255,1.275,3,-13,1004,-840,-2730,350
256,1.28,3,-12,1006,-840,-2590,350
257,1.285,4,-13,1004,-910,-2660,420
258,1.29,3,-14,1004,-910,-2660,420
259,1.295,3,-15,1004,-840,-2590,350
260,1.3,0,-11,1008,-770,-2590,350
261,1.305,10,-14,1007,-980,-2800,420
262,1.31,0,-12,1022,-770,-2520,420
263,1.315,18,-16,986,-1050,-3430,350
264,1.32,8,-14,1004,-910,-3080,350
265,1.325,8,-11,994,-910,-2870,420
266,1.33,-5,-13,995,-980,-3360,350
267,1.335,0,-12,1008,-840,-2310,350
268,1.34,2,-13,1001,-910,-2800,350
269,1.345,2,-13,1007,-840,-2450,420
270,1.35,3,-11,1005,-840,-2590,490
271,1.355,4,-13,1004,-840,-2590,420
272,1.36,1,-12,1002,-910,-2730,420
273,1.365,0,-14,1007,-840,-2520,420
274,1.37,3,-15,1005,-840,-2590,420
275,1.375,2,-14,1006,-840,-2520,420
276,1.38,4,-13,1005,-840,-2590,420
277,1.385,3,-12,1004,-840,-2660,420
278,1.39,3,-12,1005,-910,-2660,350
279,1.395,3,-13,1006,-840,-2590,420
280,1.4,2,-14,1005,-910,-2590,420
281,1.405,3,-13,1005,-840,-2590,420
282,1.41,4,-12,1007,-840,-2660,420
283,1.415,-1,-12,1009,-840,-2520,350
284,1.42,7,-15,1003,-840,-2940,420
285,1.425,2,-15,1002,-910,-2520,350
286,1.43,8,-14,999,-910,-3010,350
287,1.435,0,-12,1008,-910,-2730,420
288,1.44,6,-13,1000,-910,-2870,420
289,1.445,0,-14,1009,-840,-2380,350
290,1.45,5,-15,1005,-840,-2660,420
291,1.455,1,-13,1006,-910,-2660,420
292,1.46,2,-13,1005,-910,-2590,420
293,1.465,3,-12,1004,-840,-2660,350
294,1.47,3,-13,1005,-840,-2590,350
295,1.475,2,-13,1005,-840,-2660,420
296,1.48,3,-15,1004,-840,-2590,420
297,1.485,3,-13,1005,-840,-2660,350
298,1.49,3,-12,1005,-840,-2660,350
299,1.495,3,-12,1005,-840,-2660,350
300,1.5,2,-15,1004,-840,-2590,350
301,1.505,3,-15,1005,-840,-2660,350
302,1.51,3,-14,1003,-910,-2590,350
303,1.515,3,-13,1004,-840,-2730,420
304,1.52,3,-12,1004,-840,-2590,420
305,1.525,3,-13,1005,-840,-2660,350
306,1.53,4,-13,1006,-840,-2660,350
307,1.535,2,-14,1005,-910,-2590,420
308,1.54,2,-13,1005,-910,-2590,350
309,1.545,3,-12,1004,-910,-2660,420
310,1.55,2,-12,1002,-840,-2730,420
311,1.555,0,-13,1008,-840,-2520,420
312,1.56,4,-14,1004,-840,-2590,420
313,1.565,2,-15,1006,-910,-2590,350
314,1.57,5,-13,1003,-910,-2730,420
315,1.575,2,-12,1005,-910,-2730,420
316,1.58,4,-12,1004,-910,-2660,420
317,1.585,3,-13,1005,-840,-2730,420
318,1.59,2,-14,1005,-840,-2660,350
319,1.595,2,-14,1005,-910,-2660,420
320,1.6,3,-13,1005,-840,-2730,350
321,1.605,3,-11,1005,-840,-2660,420
322,1.61,2,-13,1005,-840,-2590,420
323,1.615,3,-14,1004,-910,-2660,350
324,1.62,2,-14,1005,-910,-2660,350
325,1.625,2,-13,1004,-840,-2660,350
326,1.63,3,-12,1004,-840,-2660,350
327,1.635,3,-12,1006,-840,-2590,350
328,1.64,2,-14,1005,-840,-2660,350
329,1.645,2,-14,1006,-910,-2660,420
330,1.65,3,-14,1006,-840,-2590,350
331,1.655,3,-13,1005,-840,-2590,350
332,1.66,3,-13,1006,-840,-2660,350
333,1.665,2,-13,1005,-840,-2660,350
334,1.67,2,-13,1005,-840,-2660,420
335,1.675,4,-13,1005,-910,-2730,420
336,1.68,3,-12,1005,-840,-2730,350
337,1.685,3,-13,1004,-840,-2660,350
338,1.69,2,-13,1006,-840,-2660,350
339,1.695,2,-13,1005,-910,-2660,420
340,1.7,2,-12,1004,-910,-2660,420
341,1.705,3,-12,1005,-840,-2590,350
342,1.71,3,-12,1005,-840,-2660,420
343,1.715,4,-12,1005,-910,-2590,350
344,1.72,3,-13,1005,-840,-2660,420
345,1.725,3,-15,1005,-840,-2590,420
346,1.73,2,-13,1004,-910,-2660,420
347,1.735,3,-12,1005,-910,-2660,350
348,1.74,4,-12,1005,-910,-2660,350
349,1.745,3,-12,1005,-840,-2660,420
350,1.75,3,-13,1004,-840,-2660,350
351,1.755,2,-14,1005,-840,-2660,350
352,1.76,2,-14,1004,-840,-2660,420
353,1.765,3,-13,1005,-910,-2590,420
354,1.77,3,-13,1004,-910,-2660,420
355,1.775,2,-13,1005,-840,-2660,350
356,1.78,4,-13,1004,-910,-2660,420
357,1.785,2,-13,1004,-910,-2660,420
358,1.79,3,-13,1005,-840,-2660,420
359,1.795,3,-14,1005,-910,-2660,420
360,1.8,2,-14,1006,-840,-2660,420
361,1.805,3,-12,1005,-910,-2660,420
362,1.81,4,-13,1004,-910,-2730,420
363,1.815,2,-11,1006,-840,-2730,420
364,1.82,2,-14,1003,-910,-2590,420
365,1.825,2,-13,1005,-910,-2590,420
366,1.83,4,-14,1005,-840,-2590,420
367,1.835,3,-13,1005,-840,-2730,420
368,1.84,5,-15,1005,-910,-2590,420
369,1.845,1,-11,1004,-840,-2730,350
370,1.85,5,-14,1005,-910,-2660,350
371,1.855,0,-16,1005,-840,-2450,350
372,1.86,3,-14,1006,-840,-2730,420
373,1.865,0,-14,1006,-840,-2450,350
374,1.87,4,-12,1003,-910,-2660,350
375,1.875,2,-12,1007,-910,-2520,420
376,1.88,3,-13,1005,-840,-2590,350
377,1.885,2,-14,1005,-910,-2520,420
378,1.89,3,-13,1004,-910,-2730,420
379,1.895,1,-12,1005,-910,-2660,350
380,1.9,5,-12,1004,-840,-2730,350
381,1.905,3,-13,1006,-840,-2590,420
382,1.91,4,-13,1004,-910,-2660,420
383,1.915,2,-13,1006,-910,-2660,420
384,1.92,4,-14,1004,-840,-2660,350
385,1.925,2,-13,1005,-840,-2730,420
386,1.93,4,-12,1004,-910,-2730,420
387,1.935,3,-12,1005,-910,-2660,350
388,1.94,2,-13,1004,-910,-2660,420
389,1.945,3,-13,1007,-840,-2660,350
390,1.95,0,-13,1008,-840,-2520,420
391,1.955,5,-12,1003,-840,-2590,350
392,1.96,3,-12,1007,-840,-2590,350
393,1.965,4,-13,1002,-910,-2520,420
394,1.97,4,-14,1005,-840,-2660,420
395,1.975,3,-14,1004,-840,-2660,350
396,1.98,2,-13,1004,-910,-2730,420
397,1.985,3,-13,1005,-840,-2660,350
398,1.99,3,-13,1005,-840,-2730,350
399,1.995,4,-13,1004,-910,-2660,420
400,2.0,3,-15,1005,-910,-2660,420
401,2.005,1,-14,1007,-840,-2730,420
402,2.01,8,-16,1004,-840,-2520,420
403,2.015,0,-11,1008,-910,-2660,420
404,2.02,7,-13,1006,-840,-2450,350
405,2.025,3,-14,1005,-840,-2730,350
406,2.03,4,-14,1003,-840,-2450,420
407,2.035,0,-13,1004,-840,-2730,350
408,2.04,5,-13,1004,-840,-2730,350
409,2.045,2,-12,1005,-840,-2730,350
410,2.05,4,-13,1004,-910,-2590,350
411,2.055,3,-14,1004,-840,-2660,420
412,2.06,2,-14,1005,-840,-2590,420
